size,id,clust
20,10618,0.5532141188433732
20,41388,0.4592143746211287
21,45255,0.636089924521692
21,48947,0.5711963509971499
22,10240,0.4265324156088126
22,1,0.4503024338971112
23,29684,0.5617531554390386
23,48363,0.34277820736907594
24,11027,0.35532771471003255
24,11191,0.5751325078242212
25,18286,0.6245716215685586
25,40617,0.6266409978180458
26,57060,0.6875360984878893
26,1,0.49320083577227936
27,12314,0.5995748547232459
27,15842,0.4701765046509955
28,45644,0.40928718601546366
28,58351,0.5122623199085155
29,9086,0.5056131444506873
